audio,text,expect,note
s1_recordings/allah_correct.wav,ٱللَّهُ,correct,heavy lam
s1_recordings/allah_light_lam.wav,ٱللَّهُ,wrong,"light lam — tafkheem, sifat-only signal"
s1_recordings/ba_raw_waqf.wav,بَ,correct,waqf probe: stopped b vs reference بڇ
s1_recordings/ba_raw_with_qalqalah.wav,بَ,correct,waqf probe: qalqalah bounce
s1_recordings/baa_correct_long.wav,بَا,correct,long baa
s1_recordings/baa_correct_short.wav,بَا,wrong,"said short — planted length error (name says correct, treated as wrong)"
s1_recordings/bii_as_baa.wav,بِي,wrong,said baa — planted vowel error
s1_recordings/bii_correct-2.wav,بِي,correct,bii
s1_recordings/bii_correct.wav,بِي,correct,bii
s1_recordings/bismi_as_basmi.wav,بِسْمِ,wrong,said basmi — planted vowel error
s1_recordings/bismi_correct.wav,بِسْمِ,correct,bismi
s1_recordings/buu_correct.wav,بُو,correct,buu
s1_recordings/haa_7_as_h.wav,حَا,wrong,said soft haa — planted consonant error
s1_recordings/haa_7_correct.wav,حَا,correct,7aa
s1_recordings/qul_as_kul.wav,قُلْ,wrong,said kul — planted consonant error
s1_recordings/qul_correct.wav,قُلْ,correct,qul
s1_recordings/saad_as_siin.wav,صَا,wrong,said siin — planted consonant error
s1_recordings/saad_correct.wav,صَا,correct,heavy Saa
s1_recordings/siin_correct.wav,سَا,correct,light saa
s1_recordings/taa_heavy_as_light.wav,طَا,wrong,said light taa — planted consonant error
s1_recordings/taa_heavy_correct.wav,طَا,correct,heavy Taa
